index,adress,arrondissement,date,school,lat,long
488,0,2,2009-12-28T20:00:00-05:00,Non,48.87019431,2.341217123
489,Général Catroux,17,2020-02-17T20:00:00-05:00,Non,48.88201678,2.310721953
490,0,11,,Non,48.85886393,2.369590179
491,0,10,2014-02-13T20:00:00-05:00,Non,48.87604017,2.363697849
492,,16,2020-12-14T19:00:00-05:00,Non,48.85961536,2.286364056
493,0,11,2007-10-11T22:00:00-04:00,Non,48.85815376,2.380597738
494,,12,2020-09-14T22:00:00-04:00,Oui,48.83524692,2.395470459
495,Halle Freyssinet,13,2021-09-16T22:00:00-04:00,Non,48.83352847,2.370941911
496,Rue de Bruxelles,9,2022-12-15T19:00:00-05:00,Oui,48.88289338,2.32861881
497,Rue du Montparnasse,14,2022-12-14T19:00:00-05:00,Non,48.84215134,2.325622344
498,rue Soeur Catherine Marie,13,,Oui,48.82982651,2.343117197
499,Rue du Surmelin,20,2020-09-14T22:00:00-04:00,Oui,48.86806613,2.402602214
500,Place de la Nation,11,,Non,48.84886399,2.39447081
501,,14,2020-08-27T22:00:00-04:00,Oui,48.83224383,2.323986723
502,Mairie du 4ème,4,2018-10-22T22:00:00-04:00,Non,48.85524527,2.355295595
503,Rue Louise Hervieu,12,,Non,48.84231399,2.384973208
504,0,15,2005-08-04T22:00:00-04:00,Non,48.84126764,2.299896649
505,0,19,,Non,48.87992489,2.395511157
506,0,12,,Non,48.84267119,2.414763403
507,0,15,,Non,48.84513439,2.309752647
508,0,19,,Non,48.87985126,2.394207694
509,0,2,2012-12-17T20:00:00-05:00,Non,48.86854897,2.342861138
510,Rue du Colonel Dominé,13,,Non,48.81985699,2.357915048
511,0,16,,Non,48.8525167,2.26879715
512,0,11,,Non,48.85915701,2.369493204
513,0,6,2009-12-10T20:00:00-05:00,Non,48.85458156,2.333283465
514,0,18,2007-10-11T22:00:00-04:00,Non,48.8962129,2.346583316
515,Halle Freyssinet,13,2021-09-16T22:00:00-04:00,Non,48.83370709,2.372115198
516,0,19,2014-01-13T20:00:00-05:00,Non,48.87814253,2.386847688
517,0,20,2010-10-07T22:00:00-04:00,Non,48.8648107,2.390929518
518,0,18,2006-08-10T22:00:00-04:00,Non,48.88734474,2.350483058
519,Montorgueil-Saint-Denis,2,2013-08-08T22:00:00-04:00,Non,48.8670594,2.34406185
520,0,12,2016-09-19T22:00:00-04:00,Non,48.84920536,2.381044186
521,Rue de Champagny,7,,Non,48.85783002,2.318824249
522,0,5,2018-01-01T20:00:00-05:00,Non,48.84015044,2.350203158
523,0,5,2009-12-14T20:00:00-05:00,Non,48.85204789,2.345175065
524,0,7,2009-12-28T20:00:00-05:00,Non,48.85217642,2.327944815
525,0,5,2009-12-14T20:00:00-05:00,Non,48.85136381,2.347584288
526,0,7,,Non,48.85658173,2.306475182
527,,13,2020-10-01T22:00:00-04:00,Oui,48.82539305,2.348951485
528,0,10,2004-11-08T20:00:00-05:00,Non,48.86929812,2.362943334
529,Rue Turgot,9,,Non,48.87957264,2.345651636
530,,16,2020-08-27T22:00:00-04:00,Oui,48.84045863,2.254490771
531,Rue Paul Dukas,12,,Non,48.84087156,2.392011388
532,0,15,,Non,48.84300458,2.27813022
533,0,11,,Non,48.85948182,2.369014305
534,Rue de la Saïda,15,2021-08-16T20:00:00-04:00,Oui,48.83224446,2.295303559
535,0,11,2007-08-16T22:00:00-04:00,Non,48.86786724,2.377976086
536,0,6,2009-12-10T20:00:00-05:00,Non,48.85092515,2.333894751
537,0,8,2017-08-28T22:00:00-04:00,Non,48.86805807,2.32133104
538,0,19,,Non,48.87851065,2.385009146
539,Rue de Belzunce,10,2021-09-20T22:00:00-04:00,Oui,48.87924813,2.352871091
540,Zac Bercy,12,1999-06-14T22:00:00-04:00,Non,48.83386037,2.387586512
541,0,19,,Non,48.88786277,2.394347649
542,0,14,2013-12-12T20:00:00-05:00,Non,48.83395742,2.319117056
543,0,19,,Non,48.87389449,2.376449815
544,0,15,,Non,48.84912329,2.293685968
545,0,19,2014-09-29T22:00:00-04:00,Non,48.88962811,2.379576649
546,0,15,2016-11-17T20:00:00-05:00,Non,48.84178213,2.298494174
547,Quartier de l'Horloge,3,2019-01-17T19:00:00-05:00,Non,48.86208239,2.352901538
548,0,15,,Non,48.85575802,2.287839171
549,0,11,,Non,48.85827071,2.369899017
550,0,13,,Non,48.83217425,2.355534596
551,0,13,,Non,48.82990142,2.353538829
552,,19,2020-10-19T20:00:00-04:00,Oui,48.88056664,2.37351113
553,Rue Marcadet,18,2022-05-16T22:00:00-04:00,Oui,48.89035058,2.354884912
554,Rue de la Bienfaisance,8,2021-12-06T20:00:00-05:00,Oui,48.87677195,2.320558432
555,Rue Richomme,18,,Oui,48.88628184,2.351229156
