arrondissement,size,rooms,price,vue,gardien,calme,refait,ascenseur,terrasse,ancien,charmant,entretenu,magnifique,exclusivité,superbe,lumineux,beau,traversant,standing,hauteur,pierre,recent,pricem2
15,9,1,68000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7555.555556
20,66,3,499000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7560.606061
18,100,5,759000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7590
13,59.26,3,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7593.655079
19,45.52,2,349900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7686.731107
20,115,5,885000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7695.652174
19,33.11,2,255000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,7701.600725
9,6.32,1,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7753.164557
20,18.24,1,142000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7785.087719
20,77,4,600000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7792.207792
10,68,2,530000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7794.117647
13,32.07,1,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7795.447459
20,46.01,2,359000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7802.651597
19,40,2,313000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7825
17,79,4,619000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7835.443038
13,53,2,416000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7849.056604
10,66.83,3,525000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7855.753404
18,33.7,2,265000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7863.501484
19,63.41,3,499000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7869.421227
15,101.02,4,795000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7869.728767
11,53.38,2,422000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7905.582615
15,89.55,3,710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7928.531547
19,56.61,2,449500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7940.293234
19,50,3,399000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7980
19,90.04,4,720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7996.446024
20,62.5,3,500000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8000
19,36.24,2,290000,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8002.207506
20,108,5,865000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8009.259259
20,76,4,610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8026.315789
19,52.69,2,423000,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8028.088821
19,52.69,2,423000,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8028.088821
15,34.87,1,280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8029.825065
20,31,2,249000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8032.258065
19,69.6,3,560000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8045.977011
19,69.51,3,560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8056.394763
19,53.93,2,435000,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,8066.011496
20,37.18,2,299900,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8066.164605
20,73,3,590000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8082.191781
15,98.7,4,798000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8085.106383
19,30.86,1,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8101.10175
18,58.5,3,475000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8119.65812
20,46.71,2,380000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8135.302933
19,41.15,2,335000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8140.947752
19,35.59,2,290000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8148.35628
14,15.94,1,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8155.583438
13,23.5,2,192000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8170.212766
20,47.6,2,389000,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8172.268908
18,110,5,899000,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,8172.727273
19,36.49,2,299000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8194.02576
18,36,2,295000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8194.444444
18,67,3,550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8208.955224
13,34.04,1,280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8225.616921
18,39,2,321000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8230.769231
12,61.77,3,509000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8240.246074
15,96.45,4,795000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8242.612753
20,63,3,520000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8253.968254
20,70.2,3,580000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8262.108262
9,54.41,2,450000,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,8270.538504
14,103.9,4,860000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.189605
15,107.4,4,890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8286.778399
18,51,2,423000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8294.117647
19,53,3,440000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8301.886792
11,29,1,241000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8310.344828
18,55,3,458000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8327.272727
13,30.5,1,254000,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8327.868852
14,54,2,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8333.333333
12,81.01,4,678000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8369.337119
11,29.85,2,250000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8375.20938
13,21.7,2,182000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8387.096774
13,23.12,1,194000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8391.00346
17,35.61,2,299000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8396.517832
14,38.66,2,325000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8406.621831
20,42.8,2,360000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8411.214953
19,36.8,2,310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8423.913043
15,73,3,615000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8424.657534
15,84.76,4,715000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8435.582822
12,17.77,1,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8441.193022
13,103,5,870000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8446.601942
18,65,3,550000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,8461.538462
20,44.06,3,373000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8465.728552
15,54.32,2,460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8468.335788
18,55.5,3,470000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8468.468468
3,38.66,1,328000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,8484.221417
20,47,3,399000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8489.361702
18,21.04,1,179000,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8507.604563
18,44,2,375000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8522.727273
20,89.73,4,765000,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8525.57673
19,56.52,3,483000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8545.647558
12,62,3,530000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8548.387097
13,46.16,2,395000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8557.192374
