index,place,location,percent_veg,percent_high_veg,adress,arrondissement,place_type,lat,long
810,SQUARE JOEL LE TAC,Promenades ouvertes,0.93655727,93.655727,3 PL CONSTANTIN PECQUEUR,18,Square,48.88926513,2.338137324
811,Institut International Bouddhique,Bois,0.525356,52.5356,6 w Route de Ceinture du Lac Daumesnil,12,Bois,48.82869488,2.414896307
812,Ecole Chiens-guides d'Aveugles,Bois,0.1719694,17.19694,102 Avenue de Saint Maurice,12,Bois,48.83412231,2.421020223
813,Centre Equestre de la Cartoucherie,Bois,0.28244089,28.244089,Route du Champ de Manoeuvre,12,Bois,48.83500097,2.448500013
814,Théâtre Astral,Bois,0.27144489,27.144489,Parc Floral- aire de jeux,12,Bois,48.83830888,2.446532615
815,Jardin de la gare de Charonne,Promenades ouvertes,0.51488124,51.488124,59 BD DAVOUT,20,Jardin,48.85224045,2.409713372
816,SQUARE GEORGES CAIN,Promenades ouvertes,0.33364821,33.364821,8 RUE PAYENNE,3,Square,48.8580502,2.362757944
817,JARDIN DES ARTS,Promenades ouvertes,0.0083116,0.83116,18 RUE HOTEL VILLE,4,,48.85418601,2.357687301
818,Le Pavillon des Princes,Bois,0.02552874,2.552874,69 Avenue de la Porte d'Auteuil,16,Bois,48.84777524,2.24271082
819,Le Pavillon d'Armenonville,Bois,0.35846944,35.846944,121 w Allée de Longchamp,16,Bois,48.87606589,2.273266
820,JARDIN DE L'AVENUE FOCH - PELOUSE 17,Promenades ouvertes,0.17584455,17.584455,10 AV FOCH,16,Jardin,48.87223948,2.28345849
821,Manège Dame Blanche,Bois,0.39645856,39.645856,9 w Route de la Dame Blanche,12,Bois,48.84482014,2.444290154
822,PROMENADE PC 14 - CORENTIN - JEAN MOULIN,Promenades ouvertes,0.6,60,39 AVENUE JEAN MOULIN,14,Promenade,48.82488994,2.324442929
823,Parc Zoologique de Paris,Bois,0.1367205,13.67205,65 Avenue de Saint Maurice,12,Bois,48.83217978,2.418341794
824,SQUARE FELIX DESRUELLES,Promenades ouvertes,0.3145072,31.45072,168 B BD SAINT GERMAIN,6,Square,48.85371456,2.334598149
825,Bois de Vincennes,Bois,0.75169487,75.169487,,12,Bois,48.82702287,2.423597347
826,JARDIN CHARLES TRENET,Promenades ouvertes,0,0,31 RUE BRILLAT SAVARIN,13,Jardin,48.82188561,2.348414669
827,JARDIN JAMES JOYCE,Promenades ouvertes,0.2533731,25.33731,7 RUE GEORGE BALANCHINE,13,Jardin,48.83599616,2.373644262
828,Bois de Vincennes,Bois,0.65258502,65.258502,,12,Bois,48.8367161,2.422665304
829,Bois de Vincennes,Bois,0.92013672,92.013672,,12,Bois,48.83734101,2.428540044
830,ESPLANADE GASTON MONNERVILLE,Promenades ouvertes,0.24695237,24.695237,1 PL ANDRE HONNORAT,6,Esplanade,48.84339641,2.336974776
831,SQUARE DE LA RUE JEAN DUNAND (ZAC BAUDRICOURT),Promenades ouvertes,0.64358493,64.358493,14 RUE POINTE IVRY,13,Square,48.82306111,2.36429753
832,SQUARE ERNEST CHAUSSON,Promenades ouvertes,0.01945106,1.945106,55 AV CLICHY,17,Square,48.88737921,2.325036047
833,Jardin de l'îlot Riquet,Promenades ouvertes,0.24921454,24.921454,8 RUE DOCTEUR LAMAZE,19,Jardin,48.88965213,2.373426431
834,JARDIN DU PORT DE L'ARSENAL,Promenades ouvertes,0.26,26,11 BD BASTILLE,12,Jardin,48.84982844,2.368017589
835,JARDIN JUAN MIRO,Promenades ouvertes,0.27063243,27.063243,40 RUE GANDON,13,Jardin,48.8201779,2.36054064
836,JARDIN SAINT-LAZARE,Promenades ouvertes,0,0,12   RUE LEON SCHWARTZENBERG,10,Jardin,48.87561659,2.354014821
837,ARCHIPEL DES BERGES DE LA SEINE - NIKI DE SAINT-PHALLE,Promenades ouvertes,0,0,2 W PORT DU GROS CAILLOU,7,Archipel,48.86311326,2.304656229
838,PARC CLICHY-BATIGNOLLES - MARTIN LUTHER KING,Promenades ouvertes,0.000001,0.0001,147 RUE CARDINET,17,Parc,48.8924598,2.312061098
839,PROMENADE AMALIA RODRIGUES,Promenades ouvertes,0.17251692,17.251692,2 BD ALGERIE,19,Promenade,48.88150055,2.400491629
840,SQUARE ALBAN SATRAGNE,Promenades ouvertes,0.16616676,16.616676,107 B RUE FAUBOURG SAINT DENIS,10,Square,48.875561,2.354982975
