index,price,adress,arrondissement,m2,rooms,pricem2,lat,long,tree_dist,tree_num,ilot_dist,wrong_num,ilot_num,aire_dist,aire_num
28971,307000,45 rue marx dormoy 75018,18,38,2,8079,48.887707,2.359655,1026,121,249,876,877,189,233
28972,280000,45 rue marx dormoy 75018,18,36,2,7778,48.887707,2.359655,1026,121,249,876,877,189,233
28973,420000,45 rue marx dormoy 75018,18,55,3,7636,48.887707,2.359655,1026,121,249,876,877,189,233
18835,240000,65 rue de lourmel 75015,15,25,1,9600,48.846044,2.288582,742,20,247,416,417,189,437
18836,236250,65 rue de lourmel 75015,15,25,1,9450,48.846044,2.288582,742,20,247,416,417,189,437
24600,782000,4 bd pereire 75017,17,46,3,17000,48.888223,2.309822,545,57,244,525,526,189,83
1494,472850,66 rue notre-dame de nazareth 75003,3,42,2,11258,48.867759,2.356556,474,76,242,472,473,189,375
27966,479300,27 rue vauvenargues 75018,18,46,2,10420,48.893656,2.332915,526,15,241,365,366,189,44
27967,475000,27 rue vauvenargues 75018,18,47,2,10106,48.893656,2.332915,526,15,241,365,366,189,44
3488,3492500,64 rue de rennes 75006,6,132,4,26458,48.852592,2.33185,379,119,239,253,254,189,35
18919,200000,115 rue de javel 75015,15,25,1,8000,48.843545,2.287162,766,20,225,416,417,189,437
18920,200000,115 rue de javel 75015,15,25,1,8000,48.843545,2.287162,766,20,225,416,417,189,437
6453,895500,64 rue de rochechouart 75009,9,62,2,14444,48.881134,2.34656,447,6,219,556,557,189,529
23685,775000,2 rue biot 75017,17,63,2,12302,48.883816,2.326745,363,18,213,70,71,189,496
8904,230000,1 rue du morvan 75011,11,19,1,12105,48.859843,2.380812,267,98,211,750,751,189,493
8905,113750,1 rue du morvan 75011,11,13,1,8750,48.859843,2.380812,267,98,211,750,751,189,493
31994,695900,142 bd de menilmontant 75020,20,54,4,12887,48.866524,2.383852,446,107,207,340,341,189,391
9732,325885,127 rue de la roquette 75011,11,37,2,8808,48.858417,2.3828,495,98,200,331,332,189,493
25784,603000,4 rue caulaincourt 75018,18,57,3,10579,48.884904,2.330181,101,18,195,897,898,189,381
21109,636500,18 rue greuze 75016,16,46,3,13837,48.863974,2.283951,508,31,187,2,3,189,346
21110,3835450,18 rue greuze 75016,16,282,7,13601,48.863974,2.283951,508,31,187,2,3,189,346
21111,1742900,18 rue greuze 75016,16,220,6,7922,48.863974,2.283951,508,31,187,2,3,189,346
13839,231750,12 rue veronese 75013,13,19,1,12197,48.833713,2.354586,340,60,181,308,309,189,550
27989,739550,43 rue duhesme 75018,18,70,3,10565,48.892024,2.340666,533,51,178,110,111,189,145
27990,870000,43 rue duhesme 75018,18,88,4,9886,48.892024,2.340666,533,51,178,110,111,189,145
13495,312500,6 rue abel hovelacque 75013,13,35,2,8929,48.833098,2.353664,252,60,177,234,235,189,550
13216,278000,79 av ledru rollin 75012,12,27,1,10296,48.850516,2.375081,1282,42,173,316,317,189,250
