index,lat,long,arrondissement,location,circumference_cm,hauteur_m,stade_dev,type,adress,place_plantded,qualification,description
26,48.82183889,2.335786146,14,PARC MONTSOURIS / 28 BOULEVARD JOURDAN,267,15,M,Chêne,Parc Montsouris,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le chêne vert est une essence originaire du pourtour méditerranéen appartenant à la famille des Fagacées. Bien adapté au climat urbain parisien
27,48.82776601,2.359263186,13,PARC DE CHOISY / 1 RUE GEORGE EASTMAN,355,25,M,Cèdre,Square de Choisy,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le cèdre du Liban est une essence originaire du Moyen-Orient appartenant à la famille des Pinacées. Véritable sculpture végétale aux grandes branches étalées
28,48.8652478,2.313351748,8,JARDINS DES CHAMPS ELYSEES - ABORDS OUEST DU GRAND PALAIS / 7 AVENUE WINSTON CHURCHILL,583,29,M,Platane,Jardin des Champs Elysées,Jardin,Ces arbres sont classés remarquables en raison de leur caractère historique.,Essence typique de la famille des Platanacées
29,48.88564154,2.34382045,18,SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE,30,3,A,Grenadier,Square Louise Michel,Jardin,Cet arbre est classé remarquable pour sa rareté botanique à Paris.,Le grenadier commun est un arbre fruitier de la famille des Lythracées. Originaire d'Asie centrale
30,48.83416245,2.382559592,12,PARC DE BERCY / 128 QUAI DE BERCY,553,35,M,Platane,Parc de Bercy / Jardin Yitzhak Rabin,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,
31,48.86245185,2.289590999,16,JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE,186,16,A,Sequoia,Jardin du Trocadéro,Jardin,Cet arbre est classé remarquable pour sa valeur symbolique.,Le séquoia est une essence originaire d’Amérique du Nord appartenant à la famille des Cupressacées. « Don du peuple Américain au peuple Français »
32,48.84778225,2.253722882,16,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,222,20,M,Bouleau,Jardin des Serres d'Auteuil,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Les bouleaux appartiennent à la famille des Bétulacées. Assez commun en bord de rivière
33,48.86193299,2.398710435,20,CIMETIERE DU PERE LACHAISE / DIV 77,265,11,M,Erable,Cimetière du Père Lachaise,Cimetière,Cet arbre est classé remarquable pour son ancienneté et son empreinte dans le paysage.,L’érable de Montpellier est une essence originaire d’Europe méridionale appartenant à la famille des Sapindacées. Cette essence est identifiable à ses petites feuilles à trois lobes d’un vert brillant et à ses fruits formés d’une double ailette membraneuse permettant la dispersion par le vent. Situé dans le jardin du souvenir
34,48.8574173,2.314725112,7,SQUARE D AJACCIO / 127 RUE DE GRENELLE,163,15,A,Magnolia,Square d'Ajaccio,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Cette essence
35,48.82260406,2.33670122,14,PARC MONTSOURIS / 28 BOULEVARD JOURDAN,415,20,M,Hêtre,Parc Montsouris,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le hêtre appartient à la famille des Fagacées. On admire les hêtres pour leur tronc sinueux couvert d'une douce écorce grise. Leur feuillage fin et brillant tremble sous le vent le plus léger et vire au brun-rouge en automne. Le hêtre est une essence forestière sensible à la qualité et la fraîcheur de la terre. Sur sol fertile
